id	is_critical	platforms	description
CVE-2023-0001	TRUE	['PaloAlto_PAN-OS', 'Windows']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0002	TRUE	['PaloAlto_PAN-OS', 'Windows']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0003	FALSE	['PaloAlto_PAN-OS']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0004	TRUE	['PaloAlto_PAN-OS']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0005	TRUE	['PaloAlto_PAN-OS']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0006	FALSE	['PaloAlto_PAN-OS', 'Windows']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0007	TRUE	['PaloAlto_PAN-OS']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0008	TRUE	['PaloAlto_PAN-OS']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0009	FALSE	['PaloAlto_PAN-OS', 'Windows']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0010	FALSE	['PaloAlto_PAN-OS']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0011	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0012	TRUE	['Windows', 'Windows_v7.21']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0013	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0014	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0015	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0016	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0017	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0018	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0019	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0020	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0021	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0022	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0023	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0024	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0025	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0026	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0027	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0028	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0029	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0030	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0033	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0034	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0035	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0036	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0037	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0038	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0039	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0040	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0041	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0042	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0043	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0044	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0045	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0046	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0047	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0048	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0049	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0050	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0051	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0052	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0053	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0054	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0055	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0056	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0057	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0058	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0059	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0060	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0061	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0062	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0063	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0064	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0065	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0066	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
