id	description	prompt_input	is_critical	validation_status	corrected_label
CVE-2023-0003	a file disclosure vulnerability in the palo alto networks cortex xsoar server software enables an authenticated user with access to the web interface to read local files from the server.	"Extract cybersecurity concepts and relationships from the following description:

a file disclosure vulnerability in the palo alto networks cortex xsoar server software enables an authenticated user with access to the web interface to read local files from the server."	TRUE	reviewed	FALSE
CVE-2023-0085	the metform elementor contact form builder plugin for wordpress is vulnerable to recaptcha bypass in versions up to, and including, 3.2.1. this is due to insufficient server side checking on the captcha value submitted during a form submission. this makes it possible for unauthenticated attackers to bypass captcha restrictions and for attackers to utilize bots to submit forms.	"Extract cybersecurity concepts and relationships from the following description:

the metform elementor contact form builder plugin for wordpress is vulnerable to recaptcha bypass in versions up to, and including, 3.2.1. this is due to insufficient server side checking on the captcha value submitted during a form submission. this makes it possible for unauthenticated attackers to bypass captcha restrictions and for attackers to utilize bots to submit forms."	FALSE	reviewed	TRUE
CVE-2023-0086	the jetwidgets for elementor plugin for wordpress is vulnerable to cross-site request forgery in versions up to, and including, 1.0.12. this is due to missing nonce validation on the save() function. this makes it possible for unauthenticated attackers to to modify the plugin's settings via a forged request granted they can trick a site administrator into performing an action such as clicking on a link. this can be used to enable svg uploads that could make cross-site scripting possible.	"Extract cybersecurity concepts and relationships from the following description:

the jetwidgets for elementor plugin for wordpress is vulnerable to cross-site request forgery in versions up to, and including, 1.0.12. this is due to missing nonce validation on the save() function. this makes it possible for unauthenticated attackers to to modify the plugin's settings via a forged request granted they can trick a site administrator into performing an action such as clicking on a link. this can be used to enable svg uploads that could make cross-site scripting possible."	TRUE	reviewed	FALSE
CVE-2023-0101	a privilege escalation vulnerability was identified in nessus versions 8.10.1 through 8.15.8 and 10.0.0 through 10.4.1. an authenticated attacker could potentially execute a specially crafted file to obtain root or nt authority / system privileges on the nessus host.	"Extract cybersecurity concepts and relationships from the following description:

a privilege escalation vulnerability was identified in nessus versions 8.10.1 through 8.15.8 and 10.0.0 through 10.4.1. an authenticated attacker could potentially execute a specially crafted file to obtain root or nt authority / system privileges on the nessus host."	TRUE	reviewed	FALSE
CVE-2023-0126	pre-authentication path traversal vulnerability in sma1000 firmware version 12.4.2, which allows an unauthenticated attacker to access arbitrary files and directories stored outside the web root directory.	"Extract cybersecurity concepts and relationships from the following description:

pre-authentication path traversal vulnerability in sma1000 firmware version 12.4.2, which allows an unauthenticated attacker to access arbitrary files and directories stored outside the web root directory."	TRUE	reviewed	FALSE
CVE-2023-0132	inappropriate implementation in in permission prompts in google chrome on windows prior to 109.0.5414.74 allowed a remote attacker to force acceptance of a permission prompt via a crafted html page. (chromium security severity: medium)	"Extract cybersecurity concepts and relationships from the following description:

inappropriate implementation in in permission prompts in google chrome on windows prior to 109.0.5414.74 allowed a remote attacker to force acceptance of a permission prompt via a crafted html page. (chromium security severity: medium)"	FALSE	reviewed	TRUE
CVE-2023-0183	nvidia gpu display driver for linux contains a vulnerability in the kernel mode layer where an out-of-bounds write can lead to denial of service and data tampering.	"Extract cybersecurity concepts and relationships from the following description:

nvidia gpu display driver for linux contains a vulnerability in the kernel mode layer where an out-of-bounds write can lead to denial of service and data tampering."	FALSE	reviewed	TRUE
CVE-2023-0185	nvidia gpu display driver for linux contains a vulnerability in the kernel mode layer, where sign conversion issuescasting an unsigned primitive to signed may lead to denial of service or information disclosure.	"Extract cybersecurity concepts and relationships from the following description:

nvidia gpu display driver for linux contains a vulnerability in the kernel mode layer, where sign conversion issuescasting an unsigned primitive to signed may lead to denial of service or information disclosure."	FALSE	reviewed	TRUE
CVE-2023-0237	rejected reason: do not use this candidate number. consultids: none. reason: this candidate is unused by its cna. notes: none.	"Extract cybersecurity concepts and relationships from the following description:

rejected reason: do not use this candidate number. consultids: none. reason: this candidate is unused by its cna. notes: none."	FALSE	reviewed	TRUE
CVE-2023-0244	a vulnerability classified as critical was found in tuzicms 2.0.6. this vulnerability affects the function delall of the file \app\manage\controller\kefucontroller.class.php. the manipulation of the argument id leads to sql injection. the attack can be initiated remotely. the exploit has been disclosed to the public and may be used. the identifier of this vulnerability is vdb-218152.	"Extract cybersecurity concepts and relationships from the following description:

a vulnerability classified as critical was found in tuzicms 2.0.6. this vulnerability affects the function delall of the file \app\manage\controller\kefucontroller.class.php. the manipulation of the argument id leads to sql injection. the attack can be initiated remotely. the exploit has been disclosed to the public and may be used. the identifier of this vulnerability is vdb-218152."	TRUE	reviewed	FALSE
